,Player,League,Squad,Pos,Player Type,"Minutes
Played (%)",Goals,Assists,onxG,onxGA
299,Fede San Emeterio,Spanish La Liga,Cádiz,MF,3,24.2,0,0,0.77,0.78
300,Oihan Sancet,Spanish La Liga,Athletic Club,FW,1,41.6,6,4,1.08,0.89
301,Antonio Sánchez,Spanish La Liga,Mallorca,MF,3,47.4,1,0,0.91,1.05
302,Germán Sánchez,Spanish La Liga,Granada,DF,5,67.1,2,1,1.03,1.08
303,Manuel Sánchez,Spanish La Liga,Osasuna,DF,4,66.1,1,3,0.97,0.84
304,Oier Sanjurjo,Spanish La Liga,Osasuna,MF,3,22.1,1,0,1.16,1.36
305,Esteban Saveljich,Spanish La Liga,Rayo Vallecano,DF,5,49.7,0,0,1.04,0.92
306,Stefan Savić,Spanish La Liga,Atlético Madrid,DF,5,71.3,0,0,1.0,1.0
307,Salva Sevilla,Spanish La Liga,Mallorca,MF,3,43.9,5,3,1.16,0.85
308,David Silva,Spanish La Liga,Real Sociedad,MF,2,50.3,2,4,1.05,0.96
309,Rubén Sobrino,Spanish La Liga,Cádiz,FW,2,54.5,4,1,1.16,1.07
310,Augusto Solari,Spanish La Liga,Celta Vigo,MF,4,20.8,0,0,1.23,1.29
311,Carlos Soler,Spanish La Liga,Valencia,MF,2,72.4,11,5,0.99,0.94
312,Son,Spanish La Liga,Levante,DF,4,57.6,1,0,1.06,0.92
313,Damián Suárez,Spanish La Liga,Getafe,DF,4,79.2,0,3,1.0,1.01
314,Denis Suárez,Spanish La Liga,Celta Vigo,MF,3,82.4,4,6,0.96,1.08
315,Luis Suárez,Spanish La Liga,Atlético Madrid,FW,1,53.7,11,2,1.07,0.95
316,Mario Suárez,Spanish La Liga,Rayo Vallecano,DF,5,20.8,0,0,0.86,1.51
317,Alexander Sørloth,Spanish La Liga,Real Sociedad,FW,1,51.6,4,0,1.12,0.98
318,Renato Tapia,Spanish La Liga,Celta Vigo,MF,3,41.3,0,0,1.0,0.82
319,Cristian Tello,Spanish La Liga,Betis,FW,2,23.9,2,2,1.16,1.34
320,Nahuel Tenaglia,Spanish La Liga,Alavés,DF,4,31.3,0,0,1.1,1.18
321,Raúl de Tomás,Spanish La Liga,Espanyol,FW,1,85.3,17,3,1.04,0.97
322,Raúl Torrente,Spanish La Liga,Granada,DF,5,37.4,0,0,1.06,0.99
323,Ferrán Torres,Spanish La Liga,Barcelona,FW,1,41.3,4,4,0.97,1.02
324,Óliver Torres,Spanish La Liga,Sevilla,MF,3,29.5,2,3,0.91,1.3
325,Pau Torres,Spanish La Liga,Villarreal,DF,5,83.4,5,1,1.02,1.0
326,Roberto Torres,Spanish La Liga,Osasuna,MF,2,23.7,2,2,1.19,1.15
327,Lucas Torró,Spanish La Liga,Osasuna,MF,3,79.7,1,0,0.96,0.85
328,Óscar Trejo,Spanish La Liga,Rayo Vallecano,MF,2,58.7,3,9,0.95,0.87
329,Manu Trigueros,Spanish La Liga,Villarreal,MF,2,63.7,6,4,1.08,0.9
330,Kieran Trippier,Spanish La Liga,Atlético Madrid,DF,4,28.4,0,0,0.91,0.78
331,Enes Ünal,Spanish La Liga,Getafe,FW,1,81.8,16,1,1.01,0.95
332,Myrto Uzuni,Spanish La Liga,Granada,FW,2,25.0,1,1,1.19,1.25
333,Óscar Valentín,Spanish La Liga,Rayo Vallecano,MF,3,75.0,0,0,0.95,0.95
334,Martin Valjent,Spanish La Liga,Mallorca,DF,5,92.9,0,0,1.02,0.99
335,Federico Valverde,Spanish La Liga,Real Madrid,MF,3,53.7,0,1,1.0,1.02
336,José Luis García Vayá,Spanish La Liga,Levante,MF,3,58.9,0,0,1.12,0.98
337,Jesus Vazquez,Spanish La Liga,Valencia,DF,4,23.7,0,0,0.82,0.91
338,Kevin Vázquez,Spanish La Liga,Celta Vigo,DF,4,38.9,0,1,0.87,1.01
339,Lucas Vázquez,Spanish La Liga,Real Madrid,DF,4,53.7,3,0,0.96,1.1
340,Unai Vencedor Paris,Spanish La Liga,Athletic Club,MF,3,69.7,0,0,1.0,1.03
341,Gonzalo Verdú,Spanish La Liga,Elche,DF,5,40.8,0,0,0.79,0.79
342,Mikel Vesga,Spanish La Liga,Athletic Club,MF,3,39.7,2,0,1.09,1.03
343,Rúben Vezo,Spanish La Liga,Levante,DF,5,70.8,0,0,1.0,0.96
344,Aleix Vidal,Spanish La Liga,Espanyol,DF,4,55.5,2,0,1.0,1.06
345,Nacho Vidal,Spanish La Liga,Osasuna,DF,4,84.7,0,1,1.05,0.93
346,Tonny Vilhena,Spanish La Liga,Espanyol,MF,2,27.1,1,1,0.72,0.95
347,Daniel Vivian,Spanish La Liga,Athletic Club,DF,5,58.2,2,1,1.02,1.1
348,Šime Vrsaljko,Spanish La Liga,Atlético Madrid,DF,4,26.8,1,2,1.03,1.03
349,Daniel Wass,Spanish La Liga,Valencia,MF,3,46.3,1,1,1.12,0.97
350,Iñaki Williams,Spanish La Liga,Athletic Club,FW,1,81.3,8,5,1.02,1.0
351,Nico Williams,Spanish La Liga,Athletic Club,MF,2,39.2,0,0,1.06,1.0
352,Joseba Zaldúa,Spanish La Liga,Real Sociedad,DF,4,34.2,0,0,0.89,1.2
353,Oier Zarraga,Spanish La Liga,Athletic Club,MF,3,34.2,1,0,0.84,1.12
354,Igor Zubeldia,Spanish La Liga,Real Sociedad,DF,5,48.2,0,1,0.94,1.13
355,Martín Zubimendi,Spanish La Liga,Real Sociedad,MF,3,75.8,2,1,1.07,1.1
356,Max Aarons,English Premier League,Norwich City,DF,4,84.2,0,2,0.93,0.96
357,Che Adams,English Premier League,Southampton,FW,1,59.7,7,3,1.06,1.0
358,Rayan Aït Nouri,English Premier League,Wolves,DF,4,53.4,1,2,0.93,1.13
359,Kristoffer Ajer,English Premier League,Brentford,DF,4,58.4,1,3,1.03,1.04
360,Nathan Aké,English Premier League,Manchester City,DF,5,27.1,2,0,0.86,0.84
361,Marc Albrighton,English Premier League,Leicester City,FW,4,33.2,1,2,0.8,1.28
362,Thiago Alcántara,English Premier League,Liverpool,MF,3,44.7,1,4,1.09,0.81
363,Trent Alexander-Arnold,English Premier League,Liverpool,DF,4,83.4,2,12,0.99,1.03
364,Allan,English Premier League,Everton,MF,3,63.9,0,2,1.04,0.94
365,Miguel Almirón,English Premier League,Newcastle Utd,MF,2,50.3,1,0,0.91,1.05
366,Marcos Alonso,English Premier League,Chelsea,DF,4,63.4,4,4,0.92,1.03
367,Daniel Amartey,English Premier League,Leicester City,DF,5,62.1,0,0,0.88,1.0
368,Joachim Andersen,English Premier League,Crystal Palace,DF,5,85.3,0,3,1.02,1.02
369,Michail Antonio,English Premier League,West Ham,FW,1,86.8,10,8,1.03,0.96
370,Adam Armstrong,English Premier League,Southampton,FW,1,41.3,2,2,0.89,1.13
371,Stuart Armstrong,English Premier League,Southampton,MF,2,43.2,2,0,1.0,1.12
372,Pierre-Emerick Aubameyang,English Premier League,Arsenal,FW,1,30.3,4,1,0.91,1.12
373,Jordan Ayew,English Premier League,Crystal Palace,FW,2,58.9,3,3,1.01,1.06
374,Luke Ayling,English Premier League,Leeds United,DF,4,66.3,2,2,1.01,1.11
375,César Azpilicueta,English Premier League,Chelsea,DF,4,60.5,1,2,0.91,1.13
376,Leon Bailey,English Premier League,Aston Villa,FW,2,22.4,1,2,1.08,0.63
377,Shandon Baptiste,English Premier League,Brentford,MF,2,26.6,1,0,0.91,0.86
378,Ashley Barnes,English Premier League,Burnley,FW,1,23.7,1,0,1.16,1.01
379,Harvey Barnes,English Premier League,Leicester City,FW,2,61.3,6,10,1.07,0.91
380,Mads Bech Sørensen,English Premier League,Brentford,DF,5,24.5,0,0,1.08,1.12
381,Jan Bednarek,English Premier League,Southampton,DF,5,76.8,4,0,1.01,0.99
382,Saïd Benrahma,English Premier League,West Ham,FW,2,63.4,8,6,1.03,0.86
383,Rodrigo Bentancur,English Premier League,Tottenham,MF,3,39.7,0,4,1.12,0.85
384,Christian Benteke,English Premier League,Crystal Palace,FW,1,33.4,4,1,1.09,1.2
385,Jóhann Berg Guðmundsson,English Premier League,Burnley,MF,2,32.1,0,1,0.96,0.95
386,Yves Bissouma,English Premier League,Brighton,MF,3,61.8,1,2,1.0,0.99
387,Willy Boly,English Premier League,Wolves,DF,5,26.3,0,0,0.95,1.24
388,Jarrod Bowen,English Premier League,West Ham,FW,2,87.1,12,10,1.05,0.95
389,Armando Broja,English Premier League,Southampton,FW,1,57.6,6,0,1.08,0.93
390,Josh Brownhill,English Premier League,Burnley,MF,3,86.3,2,3,1.0,1.01
391,Emi Buendía,English Premier League,Aston Villa,MF,2,55.5,4,6,0.99,1.03
392,Dan Burn,English Premier League,Newcastle Utd,DF,5,42.1,0,1,1.1,0.77
393,Dan Burn,English Premier League,Brighton,DF,5,30.0,1,0,0.93,1.12
394,Sam Byram,English Premier League,Norwich City,DF,4,30.0,0,0,1.1,1.09
395,Dominic Calvert-Lewin,English Premier League,Everton,FW,1,37.6,5,2,1.16,0.99
396,João Cancelo,English Premier League,Manchester City,DF,4,94.5,1,7,0.97,1.02
397,Sergi Canós,English Premier League,Brentford,DF,4,60.8,3,2,0.89,0.98
398,Matty Cash,English Premier League,Aston Villa,DF,4,98.7,4,3,1.0,0.97
399,Timothy Castagne,English Premier League,Leicester City,DF,4,62.1,1,0,1.05,0.92
400,Jonny Castro,English Premier League,Wolves,DF,4,30.0,2,0,0.94,1.15
401,Craig Cathcart,English Premier League,Watford,DF,5,70.0,0,1,1.09,1.0
402,Edinson Cavani,English Premier League,Manchester Utd,FW,1,22.4,2,1,0.98,0.86
403,Trevoh Chalobah,English Premier League,Chelsea,DF,5,42.4,3,1,0.98,0.86
404,Calum Chambers,English Premier League,Aston Villa,DF,5,24.2,1,0,1.22,0.97
405,Andreas Christensen,English Premier League,Chelsea,DF,5,43.7,0,0,0.95,0.98
406,Ciaran Clark,English Premier League,Newcastle Utd,DF,5,29.7,0,1,0.9,1.13
407,Tom Cleverley,English Premier League,Watford,MF,3,47.4,0,2,0.99,0.97
408,Nathaniel Clyne,English Premier League,Crystal Palace,DF,4,39.5,0,1,1.01,0.85
409,Conor Coady,English Premier League,Wolves,DF,5,98.2,4,0,0.99,1.01
410,Séamus Coleman,English Premier League,Everton,DF,4,77.6,1,0,0.97,0.98
411,Nathan Collins,English Premier League,Burnley,DF,5,48.9,2,0,1.14,0.96
412,Liam Cooper,English Premier League,Leeds United,DF,5,53.2,0,1,0.94,0.89
413,Jack Cork,English Premier League,Burnley,MF,3,48.9,1,0,1.04,1.0
414,Maxwel Cornet,English Premier League,Burnley,FW,2,51.6,9,1,0.98,1.08
415,Vladimír Coufal,English Premier League,West Ham,DF,4,64.5,0,4,1.07,1.0
416,Philippe Coutinho,English Premier League,Aston Villa,MF,2,38.9,5,3,1.13,0.94
417,Aaron Cresswell,English Premier League,West Ham,DF,4,79.7,2,3,0.95,0.96
418,Cucho,English Premier League,Watford,FW,2,33.4,5,2,1.2,0.99
419,Marc Cucurella,English Premier League,Brighton,DF,4,90.3,1,1,1.02,0.99
420,Patson Daka,English Premier League,Leicester City,FW,1,33.9,5,3,1.13,0.9
421,Stuart Dallas,English Premier League,Leeds United,DF,4,85.3,1,1,1.04,0.98
422,Diogo Dalot,English Premier League,Manchester Utd,DF,4,52.6,0,0,1.01,0.92
423,Ben Davies,English Premier League,Tottenham,DF,5,74.2,1,1,1.1,0.97
424,Craig Dawson,English Premier League,West Ham,DF,5,80.5,2,2,0.99,1.03
425,Kevin De Bruyne,English Premier League,Manchester City,MF,2,64.5,15,8,0.92,1.1
426,Leander Dendoncker,English Premier League,Wolves,MF,3,57.1,2,2,0.96,1.07
427,Emmanuel Dennis,English Premier League,Watford,FW,2,75.5,10,6,0.99,0.96
428,Kiernan Dewsbury-Hall,English Premier League,Leicester City,MF,2,61.6,1,2,1.0,0.98
429,Ibrahima Diallo,English Premier League,Southampton,MF,3,30.0,0,2,0.98,0.97
430,Rúben Dias,English Premier League,Manchester City,DF,5,70.3,2,4,1.0,1.05
431,Luis Díaz,English Premier League,Liverpool,FW,2,27.9,4,3,1.07,0.81
432,Eric Dier,English Premier League,Tottenham,DF,5,89.7,0,0,0.99,0.92
433,Lucas Digne,English Premier League,Aston Villa,DF,4,37.1,0,4,1.09,1.07
434,Lucas Digne,English Premier League,Everton,DF,4,34.2,0,0,1.12,0.95
435,Issa Diop,English Premier League,West Ham,DF,5,28.2,0,1,1.18,1.15
436,Matt Doherty,English Premier League,Tottenham,DF,4,25.5,2,4,1.27,0.96
437,Gabriel Dos Santos,English Premier League,Arsenal,DF,5,89.5,5,0,1.07,0.88
438,Abdoulaye Doucouré,English Premier League,Everton,MF,3,74.2,2,4,0.99,0.96
439,Kieran Dowell,English Premier League,Norwich City,FW,2,26.6,1,1,1.09,1.05
440,Shane Duffy,English Premier League,Brighton,DF,5,42.1,1,0,0.84,1.01
441,Lewis Dunk,English Premier League,Brighton,DF,5,75.3,1,0,1.01,1.0
442,Odsonne Édouard,English Premier League,Crystal Palace,FW,1,45.8,6,3,1.04,1.04
443,Anthony Elanga,English Premier League,Manchester Utd,FW,2,35.5,2,2,0.92,0.9
444,Mohamed Elneny,English Premier League,Arsenal,MF,3,23.7,0,2,1.06,1.25
445,Mohamed Elyounoussi,English Premier League,Southampton,MF,2,59.7,4,2,1.13,0.92
446,Emerson,English Premier League,Tottenham,DF,4,66.8,1,1,0.97,0.91
447,Christian Eriksen,English Premier League,Brentford,MF,3,27.4,1,4,1.22,0.99
448,Jonny Evans,English Premier League,Leicester City,DF,5,39.5,1,1,1.1,0.89
449,Fabinho,English Premier League,Liverpool,MF,3,67.6,5,1,1.0,1.03
450,Kiko Femenía,English Premier League,Watford,DF,4,62.6,0,5,0.97,0.95
451,Bruno Fernandes,English Premier League,Manchester Utd,MF,2,91.1,10,6,1.01,1.02
452,Fernandinho,English Premier League,Manchester City,MF,3,28.2,2,1,1.04,1.56
453,Roberto Firmino,English Premier League,Liverpool,FW,2,28.9,5,4,0.91,1.11
454,Junior Firpo,English Premier League,Leeds United,DF,4,50.0,0,2,0.93,1.1
455,Phil Foden,English Premier League,Manchester City,FW,2,62.1,9,5,0.96,0.94
456,Pablo Fornals,English Premier League,West Ham,FW,2,81.8,6,3,0.91,0.97
457,Adam Forshaw,English Premier League,Leeds United,MF,3,44.7,0,1,1.02,1.04
458,Ryan Fraser,English Premier League,Newcastle Utd,FW,2,42.9,2,3,1.0,0.98
459,Fred,English Premier League,Manchester Utd,MF,3,59.2,4,4,0.92,0.98
460,Conor Gallagher,English Premier League,Crystal Palace,MF,2,83.2,8,3,0.96,1.01
461,Joe Gelhardt,English Premier League,Leeds United,FW,1,21.8,2,2,1.24,1.29
462,Dimitris Giannoulis,English Premier League,Norwich City,DF,4,34.2,0,1,1.08,0.9
463,Ben Gibson,English Premier League,Norwich City,DF,5,72.9,0,0,1.04,0.96
464,Billy Gilmour,English Premier League,Norwich City,MF,3,54.2,0,1,1.01,1.1
465,Ben Godfrey,English Premier League,Everton,DF,4,59.2,0,0,0.96,1.0
466,Anthony Gordon,English Premier League,Everton,MF,2,66.8,4,2,0.97,0.92
467,Demarai Gray,English Premier League,Everton,MF,2,68.4,5,4,1.01,0.87
468,Jack Grealish,English Premier League,Manchester City,FW,2,56.1,3,3,1.0,0.86
469,Mason Greenwood,English Premier League,Manchester Utd,FW,2,37.1,5,1,1.03,0.88
470,Pascal Groß,English Premier League,Brighton,MF,4,59.5,2,4,0.97,1.06
471,Marc Guéhi,English Premier League,Crystal Palace,DF,5,94.2,2,1,1.03,0.99
472,Bruno Guimarães,English Premier League,Newcastle Utd,MF,3,30.3,5,1,1.08,0.79
473,İlkay Gündoğan,English Premier League,Manchester City,MF,2,54.2,8,4,1.1,0.92
474,Grant Hanley,English Premier League,Norwich City,DF,5,84.7,1,0,0.98,0.98
475,Jack Harrison,English Premier League,Leeds United,FW,2,77.1,8,1,0.91,1.06
476,Kai Havertz,English Premier League,Chelsea,FW,1,52.9,8,3,1.02,1.12
477,Isaac Hayden,English Premier League,Newcastle Utd,MF,3,29.2,1,0,0.79,1.21
478,Hwang Hee-chan,English Premier League,Wolves,FW,2,53.2,5,1,0.85,1.12
479,Jordan Henderson,English Premier League,Liverpool,MF,3,76.1,2,5,1.0,1.01
480,Rico Henry,English Premier League,Brentford,DF,4,81.1,3,0,1.02,1.01
481,Son Heung-min,English Premier League,Tottenham,MF,2,87.9,23,7,1.0,0.94
482,Rob Holding,English Premier League,Arsenal,DF,5,24.7,1,0,0.88,1.09
483,Mason Holgate,English Premier League,Everton,DF,5,62.4,2,1,1.0,1.04
484,Callum Hudson-Odoi,English Premier League,Chelsea,MF,2,28.2,1,2,1.03,0.89
485,Will Hughes,English Premier League,Crystal Palace,MF,3,30.8,0,1,1.04,1.16
486,Pierre Højbjerg,English Premier League,Tottenham,MF,3,93.4,2,2,0.98,0.99
487,Kelechi Iheanacho,English Premier League,Leicester City,FW,1,36.8,4,5,0.77,1.02
488,Danny Ings,English Premier League,Aston Villa,FW,1,55.5,7,6,1.05,0.91
489,Alex Iwobi,English Premier League,Everton,MF,2,59.5,2,2,1.04,1.05
490,Daniel James,English Premier League,Leeds United,FW,1,69.2,4,4,1.06,0.94
491,Reece James,English Premier League,Chelsea,DF,4,54.5,5,9,1.12,0.91
492,Vitaly Janelt,English Premier League,Brentford,MF,3,67.1,4,0,1.01,0.97
493,Pontus Jansson,English Premier League,Brentford,DF,5,97.1,3,1,0.99,1.02
494,Mathias Jensen,English Premier League,Brentford,MF,2,46.8,0,1,1.0,1.04
495,Gabriel Jesus,English Premier League,Manchester City,FW,1,55.0,8,8,0.93,0.99
496,Raúl Jiménez,English Premier League,Wolves,FW,1,76.8,6,4,1.03,0.87
497,João Pedro,English Premier League,Watford,FW,1,48.2,3,1,1.12,1.02
498,Joelinton,English Premier League,Newcastle Utd,MF,2,74.7,4,1,1.08,0.95
499,Ben Johnson,English Premier League,West Ham,DF,4,40.8,1,0,0.97,1.06
500,Curtis Jones,English Premier League,Liverpool,MF,2,25.0,1,1,0.86,1.24
501,Jorginho,English Premier League,Chelsea,MF,3,66.6,6,2,1.04,0.79
502,Diogo Jota,English Premier League,Liverpool,FW,1,69.2,15,4,0.94,1.04
503,James Justin,English Premier League,Leicester City,DF,4,29.2,0,0,1.01,0.86
504,Ozan Kabak,English Premier League,Norwich City,DF,5,26.8,0,0,0.91,0.89
505,Christian Kabasele,English Premier League,Watford,DF,5,35.0,0,0,0.94,0.94
506,Hassane Kamara,English Premier League,Watford,DF,4,47.4,1,0,0.92,0.94
507,Harry Kane,English Premier League,Tottenham,FW,1,94.5,17,9,1.01,0.98
508,N'Golo Kanté,English Premier League,Chelsea,MF,3,51.8,2,4,0.95,0.88
509,Edo Kayembe,English Premier League,Watford,MF,3,23.4,0,0,0.76,0.79
510,Michael Keane,English Premier League,Everton,DF,5,81.6,3,2,0.93,1.04
511,Naby Keïta,English Premier League,Liverpool,MF,3,34.2,3,1,0.94,1.01
512,Jonjoe Kenny,English Premier League,Everton,DF,4,29.7,0,1,0.93,1.22
513,Max Kilman,English Premier League,Wolves,DF,5,78.7,1,0,1.0,0.93
514,Joshua King,English Premier League,Watford,FW,1,65.8,5,3,1.06,1.04
515,Mateusz Klich,English Premier League,Leeds United,MF,2,60.5,1,2,1.04,1.04
516,Robin Koch,English Premier League,Leeds United,MF,3,46.1,0,0,1.0,0.97
517,Ibrahima Konaté,English Premier League,Liverpool,DF,5,28.9,0,0,0.93,1.22
518,Ezri Konsa,English Premier League,Aston Villa,DF,5,72.4,2,0,0.94,1.0
519,Cheikhou Kouyaté,English Premier League,Crystal Palace,MF,3,57.6,0,1,0.9,1.12
520,Mateo Kovačić,English Premier League,Chelsea,MF,3,45.5,2,5,0.98,1.05
521,Emil Krafth,English Premier League,Newcastle Utd,DF,4,47.9,0,1,1.0,0.86
522,Juraj Kucka,English Premier League,Watford,MF,4,56.1,1,1,0.98,0.92
523,Dejan Kulusevski,English Premier League,Tottenham,MF,2,36.8,5,8,1.13,0.9
524,Alexandre Lacazette,English Premier League,Arsenal,FW,1,52.1,4,7,1.12,0.83
525,Adam Lallana,English Premier League,Brighton,MF,3,45.5,0,1,0.97,0.93
526,Tariq Lamptey,English Premier League,Brighton,DF,4,45.5,0,2,0.97,0.91
527,Manuel Lanzini,English Premier League,West Ham,MF,3,52.1,5,3,1.05,1.05
528,Aymeric Laporte,English Premier League,Manchester City,DF,5,82.6,4,0,1.01,0.98
529,Jamaal Lascelles,English Premier League,Newcastle Utd,DF,5,60.3,1,0,0.89,1.2
530,Pierre Lees-Melou,English Premier League,Norwich City,MF,3,66.3,1,0,1.01,1.02
531,Aaron Lennon,English Premier League,Burnley,MF,2,45.3,2,0,0.95,1.01
532,Victor Lindelöf,English Premier League,Manchester Utd,DF,5,68.9,0,2,0.94,1.11
533,Valentino Livramento,English Premier League,Southampton,DF,4,64.5,1,1,1.1,0.89
534,Diego Llorente,English Premier League,Leeds United,DF,5,68.4,3,0,0.95,0.91
535,Ruben Loftus-Cheek,English Premier League,Chelsea,MF,3,40.8,0,2,1.07,1.33
536,Sean Longstaff,English Premier League,Newcastle Utd,MF,3,42.9,1,1,0.96,1.08
537,Ademola Lookman,English Premier League,Leicester City,FW,2,42.4,6,0,1.13,1.11
538,Imran Louza,English Premier League,Watford,MF,3,41.3,0,0,1.1,1.03
539,Matthew Lowton,English Premier League,Burnley,DF,4,51.8,1,2,1.0,1.03
540,Douglas Luiz,English Premier League,Aston Villa,MF,3,79.5,2,3,1.04,1.01
541,Romelu Lukaku,English Premier League,Chelsea,FW,1,46.6,8,0,0.9,1.05
542,Lyanco,English Premier League,Southampton,DF,5,26.6,0,0,0.74,1.09
543,Alexis Mac Allister,English Premier League,Brighton,MF,2,62.1,5,2,1.07,0.94
544,James Maddison,English Premier League,Leicester City,MF,2,71.8,12,8,0.98,1.07
545,Harry Maguire,English Premier League,Manchester Utd,DF,5,73.4,1,0,1.01,0.95
546,Riyad Mahrez,English Premier League,Manchester City,FW,2,43.7,11,5,1.1,1.14
547,Sadio Mané,English Premier League,Liverpool,FW,1,82.4,16,2,1.0,1.01
548,Javier Manquillo,English Premier League,Newcastle Utd,DF,4,36.8,1,2,0.83,1.12
549,Fernando Marçal,English Premier League,Wolves,MF,4,42.4,0,0,1.04,0.82
550,Solly March,English Premier League,Brighton,DF,2,51.1,0,2,1.08,1.05
551,Martinelli,English Premier League,Arsenal,FW,2,54.5,6,6,1.03,0.9
552,Adam Masina,English Premier League,Watford,DF,4,31.6,0,1,1.29,1.02
553,Jean-Philippe Mateta,English Premier League,Crystal Palace,FW,1,33.4,5,1,1.15,0.81
554,Nemanja Matić,English Premier League,Manchester Utd,MF,3,40.5,0,4,0.91,1.08
555,Joël Matip,English Premier League,Liverpool,DF,5,81.6,3,3,1.01,0.94
556,Neal Maupay,English Premier League,Brighton,FW,1,66.6,8,2,0.96,1.01
557,Bryan Mbeumo,English Premier League,Brentford,FW,1,85.0,4,7,1.04,0.96
558,James McArthur,English Premier League,Crystal Palace,MF,3,42.1,0,3,0.98,0.81
559,John McGinn,English Premier League,Aston Villa,MF,3,90.3,3,4,1.02,0.99
560,Kenny McLean,English Premier League,Norwich City,MF,3,79.2,1,0,1.01,1.02
561,Dwight McNeil,English Premier League,Burnley,MF,2,90.8,0,1,0.98,0.96
562,Scott McTominay,English Premier League,Manchester Utd,MF,3,69.7,1,1,1.0,1.02
563,Ben Mee,English Premier League,Burnley,DF,5,53.7,3,0,0.87,0.96
564,Nampalys Mendy,English Premier League,Leicester City,MF,3,30.3,0,0,0.76,0.84
565,Luka Milivojević,English Premier League,Crystal Palace,MF,3,22.6,0,0,1.08,0.81
566,James Milner,English Premier League,Liverpool,MF,4,25.0,0,1,0.98,1.05
567,Yerry Mina,English Premier League,Everton,DF,5,24.7,0,0,1.3,0.64
568,Tyrone Mings,English Premier League,Aston Villa,DF,5,93.2,1,3,1.02,1.02
569,Tyrick Mitchell,English Premier League,Crystal Palace,DF,4,90.8,0,2,0.96,1.02
570,Jakub Moder,English Premier League,Brighton,MF,2,49.7,0,3,0.91,1.01
571,Mason Mount,English Premier League,Chelsea,MF,2,69.2,11,10,1.02,1.06
572,Lucas Moura,English Premier League,Tottenham,FW,2,51.8,2,6,0.96,1.03
573,João Moutinho,English Premier League,Wolves,MF,3,86.8,2,1,0.95,0.97
574,Jacob Murphy,English Premier League,Newcastle Utd,FW,4,43.2,1,2,1.18,1.13
575,Enock Mwepu,English Premier League,Brighton,MF,2,29.2,2,4,1.03,1.03
576,Vitaliy Mykolenko,English Premier League,Everton,DF,4,30.8,1,0,0.98,0.79
577,Marvelous Nakamba,English Premier League,Aston Villa,MF,3,26.3,0,0,0.79,1.11
578,Wilfred Ndidi,English Premier League,Leicester City,MF,3,47.4,0,0,0.95,1.01
579,Rúben Neves,English Premier League,Wolves,MF,3,77.9,4,2,0.99,1.05
580,Jeremy Ngakia,English Premier League,Watford,DF,4,26.3,0,0,0.89,1.17
581,Eddie Nketiah,English Premier League,Arsenal,FW,1,24.5,5,1,1.03,1.14
582,Mathias Normann,English Premier League,Norwich City,MF,3,48.2,1,2,0.96,1.03
583,Christian Nørgaard,English Premier League,Brentford,MF,3,89.2,3,4,1.02,1.03
584,Angelo Ogbonna,English Premier League,West Ham,DF,5,26.8,1,0,1.23,0.78
585,Michael Olise,English Premier League,Crystal Palace,FW,2,33.4,2,5,1.03,0.95
586,Frank Onyeka,English Premier League,Brentford,MF,2,30.5,0,0,0.85,1.06
587,Alex Oxlade-Chamberlain,English Premier League,Liverpool,MF,2,22.9,2,1,0.88,0.95
588,Thomas Partey,English Premier League,Arsenal,MF,3,59.2,2,1,1.03,0.92
589,Nicolas Pépé,English Premier League,Arsenal,FW,2,20.3,1,2,1.06,1.11
590,Ricardo Pereira,English Premier League,Leicester City,DF,4,28.9,1,3,1.13,0.91
591,Romain Perraud,English Premier League,Southampton,DF,4,47.4,0,1,0.9,1.1
592,Kalvin Phillips,English Premier League,Leeds United,MF,3,46.6,0,1,0.98,0.92
593,Erik Pieters,English Premier League,Burnley,DF,4,21.3,0,1,0.89,0.88
594,Ethan Pinnock,English Premier League,Brentford,DF,5,78.7,1,1,0.96,0.97
595,Daniel Podence,English Premier League,Wolves,FW,2,43.4,2,3,1.1,0.93
596,Paul Pogba,English Premier League,Manchester Utd,MF,3,39.5,1,9,1.23,0.88
597,Teemu Pukki,English Premier League,Norwich City,FW,1,95.0,11,3,0.97,1.0
598,Christian Pulisic,English Premier League,Chelsea,MF,2,37.6,6,2,0.98,0.94
599,Jacob Ramsey,English Premier League,Aston Villa,MF,2,72.1,6,1,1.05,0.9
600,Raphinha,English Premier League,Leeds United,FW,2,85.3,11,3,0.99,1.0
601,Marcus Rashford,English Premier League,Manchester Utd,FW,1,36.1,4,2,0.9,1.22
602,Milot Rashica,English Premier League,Norwich City,FW,2,65.3,1,2,1.0,1.05
603,Nathan Redmond,English Premier League,Southampton,MF,2,53.7,1,5,1.0,0.97
604,Sergio Reguilón,English Premier League,Tottenham,DF,4,56.1,2,3,0.9,1.04
605,Declan Rice,English Premier League,West Ham,MF,3,92.9,1,4,0.98,0.98
606,Richarlison,English Premier League,Everton,FW,1,73.7,10,5,0.97,0.95
607,Matt Ritchie,English Premier League,Newcastle Utd,DF,4,39.2,0,2,0.86,1.29
608,Connor Roberts,English Premier League,Burnley,DF,4,49.5,1,1,0.96,1.0
609,Tyler Roberts,English Premier League,Leeds United,MF,2,28.9,1,1,0.95,1.09
610,Andrew Robertson,English Premier League,Liverpool,DF,4,74.2,3,10,0.98,1.02
611,Rodri,English Premier League,Manchester City,MF,3,84.2,7,2,0.99,0.89
