,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
127,128,Alexander Callens,pe PER,DF,NYCFC,29,1992,26.5,5,25,10,40.0,0.94,0.38,0.20,0.50,9.8,0,0,0,4.4,4.4,0.18,+0.6,+0.6,Matches
128,129,Francisco Calvo,cr CRC,DF,San Jose,29,1992,13.0,2,15,5,33.3,1.15,0.38,0.13,0.40,15.7,0,0,0,1.7,1.7,0.12,+0.3,+0.3,Matches
129,130,Rudy Camacho,fr FRA,DF,CF Montréal,30,1991,27.5,1,9,2,22.2,0.33,0.07,0.11,0.50,11.0,0,0,0,0.8,0.8,0.09,+0.2,+0.2,Matches
130,131,Geoff Cameron,us USA,DF,FC Cincinnati,36,1985,23.5,0,8,2,25.0,0.34,0.09,0.00,0.00,9.0,0,0,0,1.2,1.2,0.15,-1.2,-1.2,Matches
131,132,Leonardo Campana,ec ECU,FW,Inter Miami,21,2000,17.6,11,54,25,46.3,3.07,1.42,0.20,0.44,13.9,0,0,0,8.4,8.4,0.15,+2.6,+2.6,Matches
132,133,George Campbell,us USA,DF,Atlanta Utd,20,2001,16.4,0,8,3,37.5,0.49,0.18,0.00,0.00,11.6,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches
133,134,Russell Canouse,us USA,MF,D.C. United,26,1995,13.2,1,5,2,40.0,0.38,0.15,0.20,0.50,12.8,0,0,0,0.7,0.7,0.14,+0.3,+0.3,Matches
134,135,Nathan Cardoso,br BRA,DF,San Jose,26,1995,25.2,3,28,6,21.4,1.11,0.24,0.11,0.50,11.1,0,0,0,2.8,2.8,0.10,+0.2,+0.2,Matches
135,136,Antonio Carlos,br BRA,DF,Orlando City,28,1993,18.1,0,14,3,21.4,0.78,0.17,0.00,0.00,14.4,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
136,137,Wikelman Carmona,ve VEN,"MF,FW",NY Red Bulls,18,2003,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
