,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
101,102,Kingsley Coman,fr FRA,"FW,DF",Bayern Munich,25,1996,21,1359,65,44.4,15.1,16,78,3,5,23,0,2.48,38,17,+21,+1.39,-0.67,42.6,19.5,+23.0,+1.52,-0.22,Matches
102,103,Bambasé Conté,de GER,FW,Hoffenheim,18,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
103,104,Lucas Copado,de GER,FW,Bayern Munich,17,2004,1,16,16,0.5,0.2,0,,0,1,16,1,0.00,0,0,0,0.00,-1.77,0.3,0.4,-0.2,-0.93,-2.59,Matches
104,105,Sergio Córdova,ve VEN,"FW,MF",Augsburg,23,1997,13,328,25,10.7,3.6,2,54,0,11,20,1,1.08,6,6,0,0.00,+0.56,5.7,8.0,-2.4,-0.65,+0.06,Matches
105,106,Danny da Costa,de GER,"DF,MF",Eint Frankfurt,28,1993,11,725,66,23.7,8.1,7,85,4,4,33,6,1.18,14,16,-2,-0.25,-0.17,10.5,15.6,-5.2,-0.64,-0.68,Matches
106,107,Soumaïla Coulibaly,fr FRA,DF,Dortmund,17,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
107,108,Tanguy Coulibaly,fr FRA,"FW,MF",Stuttgart,20,2001,21,1079,51,35.3,12.0,11,79,0,10,21,7,0.86,12,24,-12,-1.00,-0.73,13.1,22.4,-9.3,-0.77,-0.65,Matches
108,109,Mickaël Cuisance,fr FRA,MF,Bayern Munich,21,1999,1,13,13,0.4,0.1,0,,0,1,13,5,3.00,0,0,0,0.00,-1.77,0.9,0.0,+0.9,+6.07,+4.44,Matches
109,110,Matheus Cunha,br BRA,FW,Hertha BSC,22,1999,1,64,64,2.1,0.7,1,64,0,0,,0,0.00,1,3,-2,-2.81,-1.85,1.3,2.1,-0.8,-1.08,-0.47,Matches
110,111,Rafael Czichos,de GER,DF,Köln,31,1990,17,1402,82,45.8,15.6,16,86,14,1,26,0,1.47,25,24,+1,+0.06,-0.04,28.6,23.9,+4.7,+0.30,+0.55,Matches
111,112,Lennart-Marten Czyborra,de GER,DF,Arminia,22,1999,4,131,33,4.3,1.5,1,76,0,3,18,6,0.50,2,3,-1,-0.69,+0.08,2.4,2.8,-0.5,-0.31,+0.84,Matches
112,113,Moanes Dabbur,il ISR,"FW,MF",Hoffenheim,29,1992,27,1310,49,42.8,14.6,17,67,2,10,17,5,1.33,32,25,+7,+0.48,+0.94,26.3,19.9,+6.3,+0.44,+0.51,Matches
113,114,Finn Dahmen,de GER,GK,Mainz 05,23,1998,2,180,90,5.9,2.0,2,90,2,0,,28,2.00,4,3,+1,+0.50,+0.38,2.6,3.0,-0.4,-0.21,-0.48,Matches
114,115,Mahmoud Dahoud,de GER,MF,Dortmund,25,1996,22,1658,75,54.2,18.4,20,79,12,2,38,1,2.00,52,31,+21,+1.14,+0.37,37.9,26.5,+11.4,+0.62,+0.25,Matches
